FIPS,County,Total Incidents
36001,Albany,3
36003,Allegany,1
36005,Bronx,35
36007,Broome,2
36009,Cattaraugus,1
36011,Cayuga,8
36015,Chemung,1
36017,Chenango,2
36019,Clinton,5
36021,Columbia,1
36025,Delaware,2
36027,Dutchess,5
36029,Erie,3
36031,Essex,1
36039,Greene,3
36045,Jefferson,2
36047,Kings,57
36053,Madison,3
36055,Monroe,6
36059,Nassau,15
36061,New York,148
36063,Niagara,2
36067,Onondaga,1
36069,Ontario,1
36071,Orange,2
36075,Oswego,1
36077,Otsego,1
36081,Queens,45
36083,Rensselaer,3
36085,Richmond,12
36087,Rockland,5
36091,Saratoga,1
36093,Schenectady,2
36095,Schoharie,1
36099,Seneca,1
36089,St. Lawrence,4
36101,Steuben,1
36103,Suffolk,15
36107,Tioga,1
36109,Tompkins,2
36111,Ulster,3
36113,Warren,1
36115,Washington,1
36117,Wayne,1
36119,Westchester,15
36121,Wyoming,1
